ori_file_name,ori_speaker,sentence
LJ048-0195,LJSpeech,all received their instructions early in the morning from captain p. w. lawrence of the traffic division.
LJ009-0262,LJSpeech,"the crowd vociferously yelled their disapproval, and at length"
LJ021-0108,LJSpeech,"from the standpoint of the good of the industries themselves, as well as the general public interest,"
LJ041-0117,LJSpeech,"in an attempt to have this discharge reversed,"
LJ039-0207,LJSpeech,"although all of the shots were a few inches high and to the right of the target,"
LJ041-0072,LJSpeech,that he was a man of great ability and intelligence and that many of his superiors in the marine corps were not sufficiently competent to give him orders.
LJ029-0077,LJSpeech,"one building, market hall, was unavailable for november twenty-two."
LJ025-0062,LJSpeech,"under particular circumstances, the contents of the cells of certain water-weeds were set free and moved about with considerable velocity"
LJ031-0007,LJSpeech,chief of police curry and police motorcyclists at the head of the motorcade led the way to the hospital.
LJ006-0041,LJSpeech,changes introduced under pressure had been only skin deep.
LJ047-0029,LJSpeech,"had described himself as a marxist, had said he would give the soviet union any useful information he had acquired"
LJ010-0304,LJSpeech,"through advances made to various builders, and that it could only maintain its credit by wholesale discounting."
LJ029-0048,LJSpeech,"on november eight, nineteen sixty-three,"
LJ005-0162,LJSpeech,"it did not peremptorily insist. too often the letter of the law was observed, but not its spirit."
LJ016-0277,LJSpeech,"this is proved by contemporary accounts, especially one graphic and realistic article which appeared in the 'times,'"
LJ019-0335,LJSpeech,"the books and journals he was to keep were minutely specified, and his constant presence in or near the jail was insisted upon."
LJ018-0070,LJSpeech,"sattler was ironed for safe custody,"
LJ001-0064,LJSpeech,"many of whose types, indeed, like that of the subiaco works, are of a transitional character."
LJ030-0067,LJSpeech,on his right sat kellerman.
LJ002-0241,LJSpeech,"the court of the marshalsea was instituted by charles i. in the sixth year of his reign,"
LJ028-0089,LJSpeech,"though a great warrior, it was not for his military deeds that he was best known."
LJ042-0166,LJSpeech,"the latter material expresses great hostility to both communism and capitalism. he wrote, that to a person knowing both of those systems, quote,"
LJ014-0262,LJSpeech,"he played high, and spent his nights at the club, or in joyous and dissolute company."
LJ028-0358,LJSpeech,"cyrus had permitted them to stand, and as long as he made babylon his home, the city was as strongly protected as ever."
LJ001-0180,LJSpeech,the proportions of the page still give pleasure by the sense of richness that the cuts and letter together convey.
LJ046-0082,LJSpeech,must depend upon the utmost cooperation and understanding from the public and the president.
LJ041-0086,LJSpeech,"and then used the, quote, special treatment, end quote, he received as an example of the way in which he was being picked on and, quote,"
LJ019-0080,LJSpeech,"some were not sufficiently ventilated, others were warmed artificially, and were unwholesomely close."
LJ025-0068,LJSpeech,"""at the present day,"" writes huxley,"
LJ011-0229,LJSpeech,"after which he went to new zealand, and held an important post in that colony."
LJ001-0052,LJSpeech,"yet their type is artistically on a much lower level than jenson's, and in fact"
LJ008-0038,LJSpeech,"after hanging the usual time they were taken down, and the machine cleared away in half-an-hour."
LJ002-0033,LJSpeech,two. the female debtors' side. three. the chapel yard. four. the middle yard.
LJ005-0053,LJSpeech,a very valuable volume published by the society
LJ043-0113,LJSpeech,"refusing to admit that he could only get work as a greaser,"
LJ035-0002,LJSpeech,chapter four. the assassin: part four. oswald's actions in building after assassination.
LJ046-0015,LJSpeech,this study has led the commission to conclude that the public interest might be served by any contribution it can make to the improvement of protective arrangements.
LJ037-0200,LJSpeech,the name written in this space was d. f. drittal.
LJ009-0051,LJSpeech,his look at the sheriffs and the ordinary is full of scorn and defiance.
LJ043-0107,LJSpeech,"upon moving to new orleans on april twenty-four, nineteen sixty-three,"
LJ030-0028,LJSpeech,and the vice president and misess johnson were in the receiving line to greet president and misess kennedy.
LJ019-0137,LJSpeech,"the prison population of newgate was still subject to great fluctuations, but it seldom rose above two hundred and fifty or three hundred"
LJ036-0117,LJSpeech,"and daniel lujan, aged twenty-six, was no. four."
LJ008-0024,LJSpeech,"of the trading vessel 'adventure,' upon the high seas."
LJ008-0094,LJSpeech,"his appearance on the scaffold was the signal for three prolonged shouts from an innumerable populace, ""the brutal effusion of one common sentiment."""
LJ019-0388,LJSpeech,"this bill, reintroduced in eighteen seventy-seven, became law that year, after which the whole of the prisons, including newgate,"
LJ011-0273,LJSpeech,"he was about to descend the stairs when three persons, one of them the young sailor,"
LJ007-0079,LJSpeech,"or arraignment, to an asylum, and the secretary of state had the same power as regards any who became insane while undergoing sentence."
LJ004-0173,LJSpeech,"and sometimes slept in ""the pit,"" loaded with heavy irons for a whole year, waiting the jail delivery."
LJ043-0123,LJSpeech,"he consulted with his supervisor and, quote, it was determined that we should not undertake to furnish employment references for him, end quote."
